"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.444732611474,4.60255454054448,0.21174194306269,21.7366218235837,9.24585530928941e-105,1.70262425520565e-100
"ENSG00000148175",11193.7231981539,1.45149351422618,0.0848957782266243,17.0973580140994,1.5528595050244e-65,1.42979538925122e-61
"ENSG00000179094",776.600164098613,3.18388262288409,0.201509405983354,15.800168768038,3.10284782960717e-56,1.90463142607387e-52
"ENSG00000134686",2737.98162586977,1.38716804373854,0.0916586973120565,15.1340580263306,9.655331152176e-52,4.44507307918303e-48
"ENSG00000125148",3656.26740037453,2.20346827829643,0.147419126764322,14.9469633056442,1.63015008191604e-50,6.00384275169679e-47
"ENSG00000120129",3409.03835490143,2.94901281295456,0.201546443514062,14.6319268231037,1.75738759876567e-48,5.39371543854496e-45
"ENSG00000189221",2341.78067569054,3.30522736474065,0.228030723877685,14.4946580378948,1.30952913337804e-47,3.44499699873666e-44
"ENSG00000109906",385.071327676389,7.17614939620648,0.496359299844978,14.4575701481723,2.24587292175229e-47,5.16971873175856e-44
"ENSG00000178695",2649.82251474546,-2.49988304166944,0.178903479961893,-13.9733617378595,2.26669605828863e-44,4.63791199037612e-41
"ENSG00000101347",12703.4128252398,3.85775021160878,0.279324769387125,13.8109850410802,2.18818799670906e-43,4.02954819593974e-40
"ENSG00000162614",5393.11454093552,2.02995889126933,0.151706516399929,13.3808285856221,7.82699330668175e-41,1.31030983402313e-37
"ENSG00000196517",229.638049919376,-2.21693924604395,0.166828412556498,-13.2887390826977,2.69074302078094e-40,4.12916939397341e-37
"ENSG00000096060",2564.38437504937,3.93843101507586,0.296906743549459,13.264875590203,3.7003444437202e-40,5.24168022546981e-37
"ENSG00000162616",1467.63832301977,1.52097017999927,0.123443099810222,12.3212247775499,6.96286871975723e-35,9.15865910530924e-32
"ENSG00000116584",2250.58089102087,-1.01449238445002,0.0824250094623759,-12.308065125708,8.19646505285553e-35,1.0062526929889e-31
"ENSG00000166741",7432.96098233325,2.16221947092681,0.177514555482932,12.180519310343,3.94760242401995e-34,4.54344366489547e-31
"ENSG00000183044",498.690254503353,1.15807030071421,0.0971414775314432,11.9214812265889,9.14677113719628e-33,9.90810532302762e-30
"ENSG00000144369",1303.26322729511,-1.35029402425608,0.116149008711576,-11.6255320577825,3.05682896220542e-31,3.12730585216737e-28
"ENSG00000198624",2057.20440873193,2.89494699695876,0.25063879865109,11.5502747880178,7.35847890271743e-31,7.1319152101864e-28
"ENSG00000164125",5596.3514152391,1.12456104199287,0.0981153358811939,11.461623525955,2.05623714583293e-30,1.89328035202567e-27
"ENSG00000108821",100989.91598642,-1.29947097747104,0.1153112084658,-11.269251226835,1.86146142905635e-29,1.63232439124156e-26
"ENSG00000135821",19611.251384513,3.00416007078902,0.268753893163959,11.1781081026286,5.21907239259671e-29,4.36860082316674e-26
"ENSG00000163884",561.111048261822,4.58218142970924,0.412315586337605,11.1132869615978,1.08105472768898e-28,8.65548817843154e-26
"ENSG00000162692",508.164810682556,-3.60933204795294,0.326428735447094,-11.0570291644496,2.02700508375495e-28,1.55530410905614e-25
"ENSG00000164647",1920.71084944799,1.55676220873078,0.14102948446259,11.0385584593393,2.48995707512008e-28,1.83410238153345e-25
"ENSG00000077684",1570.63392682279,1.20687900242557,0.10973443825887,10.9981790728127,3.89926141141906e-28,2.76172688043392e-25
"ENSG00000139132",1223.46315207371,2.25393670843187,0.205574548135615,10.964084459254,5.68732465205087e-28,3.87896605435247e-25
"ENSG00000114098",1010.29282888401,1.35688162931468,0.125664887329199,10.797619431752,3.53243412134407e-27,2.32320622659111e-24
"ENSG00000181467",630.869571252005,-1.27245221033199,0.118414311103374,-10.7457637381445,6.20462628693071e-27,3.939937692201e-24
"ENSG00000123562",5040.48334406563,1.02831045496216,0.095951666964773,10.7169628990363,8.47403306244593e-27,5.20164396149806e-24
"ENSG00000165995",495.095686525811,3.30052365155621,0.308426316320587,10.7011739170971,1.00496875103429e-26,5.96983856461178e-24
"ENSG00000145777",152.370841552781,-2.78656070901066,0.261714255897145,-10.6473401666961,1.79418377542296e-26,1.03249669451293e-23
"ENSG00000116285",3232.63588079279,2.43984707583882,0.229362922678668,10.6374955783808,1.99417373398913e-26,1.11280937307302e-23
"ENSG00000177666",1701.23183704411,1.10499933477376,0.105057372576418,10.5180560647469,7.13300419532417e-26,3.8633609487322e-23
"ENSG00000163491",160.223339782888,-2.47256611656987,0.236886255156105,-10.4377778902388,1.6666631642532e-25,8.76902919134935e-23
"ENSG00000183160",2987.64727922828,-1.16912178311171,0.112188739688254,-10.4210260883616,1.98796747384355e-25,1.01690058418969e-22
"ENSG00000103196",3082.088884672,2.70058097148248,0.26094231527098,10.3493408827848,4.21376684137012e-25,2.09720314550894e-22
